Filename,Change of Control,Anti-assignment
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.PDF,,"Neither party shall assign or transfer any of its rights under this Agreement without the prior written approval of the other party, except no such approval shall be required for an assignment to a financially responsible affiliate. (Page 5)"
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.PDF,,"This Agreement shall be binding upon the parties and their respective successors and assigns; provided, however, that no rights or obligations hereunder, including but not limited to Licensee's Subscriber accounts, shall be assigned or transferred, in whole or in part, by either of the parties hereto to any person, firm or corporation without prior written consent by the other party, which consent shall not be unreasonably withheld or delayed. (Page 2)"
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.PDF,"Notwithstanding the         foregoing, either party shall have the right to assign this Agreement in         connection with the merger or acquisition of such party or the sale of         all or substantially all of its assets related to this Agreement without         such consent, except in the case where such transaction involves a         direct competitor of the other party where consent of the other party         will be required. (Page 9)","Neither party may assign this Agreement or any rights or         obligations hereunder, whether by operation of law or otherwise, without         the prior written consent of the other party. (Page 9)  Any assignment in violation of this Section 14.1         shall be null and void. (Page 9)"
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.PDF,,"Neither party may assign this Agreement or any rights or          obligations hereunder, whether by operation of law or otherwise,          without the prior written consent of the other party. (Page 12)  Any assignment in          violation of this Section 14.1 shall be null and void. (Page 12)  Customer may assign this Agreement without Changepoint's consent (i) to an Affiliate of Customer; or (ii) to a purchaser of all or substantially all of Customer's assets. Otherwise, neither this Agreement nor any rights granted hereby may be transferred or assigned by Customer to any other person without Changepoint's prior written consent, (such consent shall not be unreasonably withheld), and any such attempted assignment shall be null and void. (Page 27)"
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.PDF,"Except as expressly permitted hereunder or in Exhibit F hereto, neither party may transfer, assign or sublicense this Agreement, or any rights or obligations hereunder, whether by contract or by operation of law, except with the express written consent of the other party, and any attempted transfer, assignment or sublicense by a party in violation of this Section shall be void. For purposes of this Agreement, an ""transfer"" under this Section shall be deemed to include, without limitation, the following: (a) a merger or any other combination of an entity with another party (other than a reincorporation of Inktomi from the State of California to the State of Delaware), whether or not the entity is the surviving entity; (b) any transaction or series of transactions whereby a third party acquires direct or indirect power to control the management and policies of an entity, whether through the acquisition of voting securities, by contract, or otherwise; (c) in the case of Inktomi, the sale or other transfer of Inktomi's search engine business or any other substantial portion of Inktomi's assets (whether in a single transaction or series of transactions), or (d) the transfer of any rights or obligations in the course of a liquidation or other similar reorganization of an entity (other than a reincorporation of Inktomi from the State of California to the State of Delaware). (Page 10)","Except as expressly permitted hereunder or in Exhibit F hereto, neither party may transfer, assign or sublicense this Agreement, or any rights or obligations hereunder, whether by contract or by operation of law, except with the express written consent of the other party, and any attempted transfer, assignment or sublicense by a party in violation of this Section shall be void. (Page 10)"
"Antares Pharma, Inc. - Manufacturing Agreement.PDF",,"Except as otherwise provided in this Section 12.2, neither this Agreement nor any interest hereunder shall be assignable by any Party without the prior written consent of the other (which consent shall not be unreasonably withheld, conditioned or delayed); provided, however, that either Party may assign this Agreement to any wholly-owned subsidiary or to any successor by merger or sale of substantially all of its business unit to which this Agreement relates. (Page 33)  Any purported assignment in violation of this paragraph shall be void and ineffectual and shall not operate to transfer or assign any interest or title to the purported assignee. (Page 33)"
Apollo Endosurgery - Manufacturing and Supply Agreement.PDF,,"Neither Party shall have the right to assign this Agreement or any of its rights or obligations hereunder without the prior written consent of the other Party; provided, however, APOLLO may assign the Agreement to and may, without the <omitted> prior consent of ESTABLISHMENT, assign all of its rights under this Agreement to (i) a parent or subsidiary of Apollo, (ii) a purchaser of all or substantially all the Apollo assets related to this Agreement, or (iii) a third party acquiring control of Apollo through a merger, acquisition, sale of assets or other corporate reorganization. (Pages 13-14)"
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF",Columbia shall have the right to terminate this Agreement upon [***] notice to Fleet in the event: <omitted>  (ii) a Change of Control Event with respect to Fleet occurs; (Pages 9-10),"Neither party shall, without the prior written consent (not to be unreasonably withheld or delayed) of the other party having been obtained, assign or transfer this Agreement to any person or entity, in whole or in part (and any attempt to do so shall be void), provided that, each party may assign or transfer this Agreement without such consent to any Affiliate or to any successor by merger of such party, or upon a sale or other transfer of all or substantially all of such party's assets or business to which the subject matter of this Agreement pertains, provided that the acquirer of the business confirms to the Supplier in writing its agreement to be bound by all of the terms and conditions of this Agreement and that the assignor shall remain liable for the obligations hereunder. (Page 11)  Notwithstanding the foregoing, it shall not be deemed unreasonable for Columbia to withhold consent, to any proposed or attempted assignment (including by merger or sale) by Fleet to a party which is not an Affiliate, if Columbia is not reasonably satisfied that the assignee possesses the management, finances, personnel, capabilities and facilities to perform fully the obligations of Fleet hereunder. (Page 11)"
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement .PDF,,Neither Party shall assign any of its rights or obligations under this Agreement to any third party directly or indirectly without the prior written consent of the other Party. (Page 15)
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.PDF",,"Bachem will not assign this Agreement without the prior written consent of Magenta, and any purported assignment in contravention of this Section 15.2 shall be null and void; provided, however, that either Party may assign this Agreement in connection with (i) the sale, transfer or other disposition of its assets related to this Agreement, (ii) a change in control of such Party, or (iii) the sale or transfer of substantially all of such Party’s outstanding stock. (Page 18)  Bachem shall not assign, subcontract or delegate any of its rights or obligations under this Agreement without the express prior written authorization of Magenta, provided however, that Bachem may subcontract its rights and obligations hereunder to those subcontractors identified and agreed to by the Parties in the Quality Agreement. (Page 18)"
"Sonos, Inc. - Manufacturing Agreement .PDF",,"Before engaging any IAC Subcontractor, IAC shall first notify and get written approval from Sonos for the use of such IAC Subcontractor. (Page 22)  No party may assign its rights or delegate its obligations hereunder, either in whole or in part, without the prior written consent of the other party, other than an assignment by Sonos or IAC of its rights and obligations hereunder to a wholly-owned subsidiary. (Page 24)  Any attempted assignment or delegation in violation of this section by either party without the prior written consent of the other will be void. (Page 25)"
"VAPOTHERM, INC. - Manufacturing and Supply Agreement.PDF","Notwithstanding anything to the contrary in this Agreement, Medica shall neither enter into an agreement to nor shall consummate (a) any Change of Control or (b) any sale of all or substantially all of its assets relating to the manufacture of the Cartridges unless (a) it provides Vapotherm written notice of any such proposed transaction, which notice shall include the specific terms and conditions of the proposed transaction, including the identify of the proposed acquirer, (b) Medica offers to enter into such transaction with Vapotherm on substantially the same terms and conditions, and (c) with [* * *] days of such notice, Vapotherm declines to accept such offer. (Page 21)","Neither party may assign any of its rights or obligations under this Agreement without the prior written consent of the other except that: (1) Vapotherm may assign this Agreement or transfer its rights and obligations under this Agreement to an Affiliate of Vapotherm or a successor to all or substantially all of its assets or business relating to this-Agreement, whether by sale, merger, operation of law, or otherwise. (Page 26)"
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.PDF",,"Neither party will have the right to assign, pledge or transfer all or any part of this Agreement without the prior written consent of the other, and any such purported assignment, pledge or transfer by a party without such prior written consent shall be void ab initio; provided, however, that either party may assign all or part of its rights and obligations under this Agreement in connection with a Change of Control (as defined in the Asset Purchase Agreement). (Page 7)"
SANDRIDGEENERGYINC_08_06_2009-EX-10.6-OPERATIONS AND MAINTENANCE AGREEMENT.PDF,Owner may terminate this Agreement at any time upon the occurrence of any of the following: <omitted> (b)  an Operator Change of Control; (Page 12),"Operator shall not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder unless there first shall  have been obtained the written consent thereto of Owner, which consent shall not be unreasonably withheld, conditioned, or delayed. (Page 28)  Owner shall  not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder except in connection with the sale or  conveyance of all or any part of the Gathering System. (Page 28)  Any attempted assignment of this Agreement in violation of this Section 9.13 shall be null and void. (Page 28)"
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.PDF,,The rights and obligations under this maintenance and support contract may       not be assigned in whole or in part by either party without the prior       written consent by the other party. (Page 8)
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,"Upon the occurrence of any Change of Control (as defined below) this Agreement and all Licensee's rights and licenses hereunder  shall automatically terminate unless, prior to the occurrence of such Change of Control, Licensor has consented to such Change of Control in a  writing executed by an officer of Licensor; provided that Licensor will not unreasonably withhold its consent to the consummation of a Change of  Control. (Page 16)  For purposes of the preceding sentence, Licensor will be deemed to have reasonably withheld its consent to a Change of Control if any  person or entity who would acquire direct or indirect control (as defined below) of Licensee pursuant to such Change of Control then conducts a  business that is directly or indirectly competitive with a business then conducted by Licensor or any of its Affiliates and/or Licensor reasonably believes that Licensor’s interests will be adversely effected by the continuing of this Agreement upon such a Change in Control. (Page 16)","Licensee will not sell, lease, lend, transfer, assign, hypothecate, or otherwise distribute the licensed programs to  any third party for use in the field of foreign exchange transactions unless the Licensee receives specific approval  of the Licensor. (Page 3)  Licensee agrees it shall not exchange, lease, sublease, distribute, assign, sell or otherwise transfer in any manner any right and/or interest  incident to the License Technology to any third party under any circumstances, without the prior written consent of the Licensor. (Page 11)  Licensee may not assign this Agreement or assign, sublicense and/or transfer in any manner its license rights hereunder in  whole or in part without Licensor's prior written consent. (Page 18)  Any attempt to assign this Agreement or assign, sublicense and/or transfer in any  manner Licensee's license rights hereunder without such consent will be void and of no effect. (Page 18)"
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,,"Sparkling shall: <omitted>  (c)    not assign this Agreement or transfer, lease, export or grant a sublicence of the Work to any Person, except as and when authorized to do so by Garman in writing; (Page 1)  Neither party may assign this Agreement or any rights and obligations under this Agreement to any third party without the written consent of the other party. (Page 6)"
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT.PDF,,Neither party shall be entitled to assign the benefit of this Agreement without the prior written consent of the other party nor shall  such consent be unreasonably withheld. (Page 26)
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT.PDF",,"Service Provider shall not, without the prior written consent of Owner, which consent will not be unreasonably withheld or delayed, assign,  pledge or transfer all or any part of, or any right or obligation under, this Agreement, whether voluntarily or by operation of law, and any such  assignment or transfer without such consent will be null and void; provided, however, that notwithstanding the foregoing, Service Provider may,  without the consent of Owner, assign, <omitted> pledge or transfer all or any part of Service Provider’s payment rights under this Agreement (i) to any affiliate of Service Provider, (ii) to any party  that acquires Service Provider or all or substantially all of Service Provider’s assets, or (iii) for security purposes in connection with any financing  and, provided further, that Service Provider shall remain fully liable for the performance of all of Service Provider’s obligations under this  Agreement. (Pages 5-6)  Owner shall deliver  notice of any such assignment, pledge or transfer to Service Provider in writing as soon as reasonably practicable thereafter. (Page 6)"
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,"A Party may assign the whole of its rights  under this  Agreement  to a          successor  by  law,  Subsidiary  or  Affiliate  of  such  Party,  or  a          corporation or an entity  jointly  controlling or under the same common          control as such Party,  provided that the assigning  Party shall remain          jointly and severally  liable with the assignee for the  performance of          this  Agreement for the duration of the  Agreement. (Page 24)","No Party may assign,  sell, transfer or dispose of part or parts of its          rights or obligations under this Agreement except as otherwise provided          for in Paragraph 9. (Page 24)  The Managing Group          may  decide  that the  assigning  Party  will not  remain  jointly  and          severally  liable  with  the  assignee  for  the  performance  of  this          Agreement for the duration of the Agreement provided that the assigning          Party will give  notice to the other  Parties in a timely  manner,  and          provided  that  the  assignee  agrees  in  writing  to be  bound by the          provisions of this Agreement. (Page 24)  Except in accordance  with  Subparagraph  30.2, no Party may assign the          whole of its rights under this Agreement without the written consent of          all the other Parties, such consent shall not be unreasonably withheld. (Page 24)"
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,,"No party may assign any of its rights, obligations or privileges (except by operation of law or other corporate reorganization) hereunder without the prior written consent of the other party, which shall not be unreasonable withheld, provided, that any party shall have the right to assign its rights, obligations and privileges hereunder to a successor in business or an acquirer of all or substantially all of its business or assets to which this Agreement pertains without obtaining the consent of the other party. (Page 8)"
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,,"Except as otherwise provided in Paragraph 12 and Subparagraphs 22.2, 22.3, 22.4 and 22.5, during the term of this Agreement, no Party may assign, sell, transfer or dispose of the whole or any parts of its rights or obligations under this Agreement (Page 34)"
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.PDF,,"Neither Party shall be entitled to cede, or delegate its rights and obligations arising   from this AGREEMENT or to assign this AGREEMENT to any other person or   entity without the prior written consent of the other party provided that either party   shall be entitled to assign this AGREEMENT, in whole and not part only, to any of   its' subsidiary or holding companies (as defined and contemplated in the   Companies Act of 1973, as amended) provided that any such assignment shall   ipso facto cease to be of any further force and effect as between the parties,   should the assignee cease, for whatever reason, to be a subsidiary or holding   company, of the assignor. (Page 34)"
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.PDF,,The Customer shall not assign or transfer its rights or                   obligations under this Agreement except with MMMW's prior                   written consent; any prohibited assignment or transfer shall                   be void. (Page 4)
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.PDF,,"The Company shall not sell, transfer or otherwise attempt to convey or dispose of any part of the Fiber Ring Assets, other than sales and leases of capacity or of individual fiber strands in the ordinary and usual course of business unless the Provider consents to such transaction, which consent will not be withheld if, (a) the proposed transferee consents in writing to the assumption of all obligations of the Company under this Agreement, including those obligations to be undertaken under other agreements pursuant to Section 3.3, and (b) all governmental approvals (under City Rights Agreements or otherwise) have been obtained, with the Provider having the right (if it elects) to coordinate such efforts if it is the counterparty under such agreements requiring approval (with the Company to pay the reasonable costs of doing so). (Page 3)  This Agreement and the rights and obligations hereunder may be assigned by the Provider upon written notice to the Company. (Page 5)"
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.PDF,,"Operator shall not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder unless there first shall have been obtained the written consent thereto of Owner, which consent shall not be unreasonably withheld, conditioned, or delayed. (Page 21)  Owner shall not make any assignment of all or any part of this Agreement or any of the rights or obligations hereunder except in connection with the sale, financing or conveyance of all or any part of the Rail Facility. (Page 21)  Any attempted assignment of this Agreement in violation of this Section 8.12 shall be null and void. (Page 21)"
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.PDF,"No transfer of this Agreement by operation of law or change in Control of a party, including, without limitation, by merger, consolidation or sale or other transfer of equity interests, shall be considered an assignment for purposes of this Section 11.9. (Page 11)","Otherwise, neither party may assign this Agreement without the other party's prior written consent (not to be unreasonably withheld). (Page 11)"
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.PDF",,"Neither this Agreement nor any rights or obligations or licenses hereunder may be assigned, pledged, transferred or encumbered by either party without the express prior written approval of the other party, except that either HEMISPHERX or SCIEN may assign this Agreement to any successor by merger or sale of substantially all of its business or assets to which this Agreement pertains, without any such consent. (Page 6)  Any assignment in violation hereof is void. (Page 6)"
Monsanto Company - SECOND A&R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .PDF,"In addition, notwithstanding the foregoing, Monsanto, or a subsequent successor, may assign the licenses for the Additional Roundup Products Trademarks upon a Change of Control with respect to Monsanto or a Roundup Sale, provided that Monsanto has provided the Agent with prior written notice of, and has obtained the Agent's prior written consent to, such assignment, which consent shall not be unreasonably withheld. (Page 39)  In addition to its right to terminate this Agreement pursuant to Section 10.9, Monsanto shall have the right to terminate this Agreement by giving the Agent a termination notice specified for each termination event upon the occurrence and continuance of either of the following:   (1) An Event of Default occurring at any time; or  <omitted>  (2) A Change of Control with respect to Monsanto or a Roundup Sale, in each case, by giving the Agent a notice of termination, such termination to be effective at the end of the fifth (5th) full Program Year after such notice is provided. (Pages 47-48)  An Event of Default shall mean any of the following occurrences: <omitted>   the occurrence of a Change of Control of an SMG Target without the prior written consent of Monsanto, unless the Agent has determined in its reasonable commercial opinion that such acquiror can and will fully perform the duties and obligations of the Agent under this Agreement; (Page 48)  Except as set forth in this Section 11.8 or Section 2.3, and except for a Change of Control under Section 10.4(b)(7) that does not provide Monsanto termination rights under this Agreement, neither this Agreement nor any of the rights, interests, or obligations hereunder shall be transferred, delegated, or assigned by a party (by operation of law or otherwise) without the prior written consent of the other party. (Page 60)  For the avoidance of doubt, in no event shall this Agreement be transferred, delegated, or assigned by a party (by operation of law, Change of Control, or otherwise) to a third party unless the applicable portions of the License Agreement are also transferred to such third party. (Page 61)","An Event of Default shall mean any of the following occurrences: <omitted>  the occurrence of a Change of Control of an SMG Target without the prior written consent of Monsanto, unless the Agent has determined in its reasonable commercial opinion that such acquiror can and will fully perform the duties and obligations of the Agent under this Agreement; (Page 48)  Except as set forth in this Section 11.8 or Section 2.3, and except for a Change of Control under Section 10.4(b)(7) that does not provide Monsanto termination rights under this Agreement, neither this Agreement nor any of the rights, interests, or obligations hereunder shall be transferred, delegated, or assigned by a party (by operation of law or otherwise) without the prior written consent of the other party. (Page 60)  Notwithstanding the foregoing:   <omitted>  (2) Subject to Agent’s rights set forth in Section 10.6, Monsanto shall have the right to transfer and assign all or a portion of its rights, interests and obligations hereunder to a Person that acquires all or a portion of Monsanto’s business related to the Lawn and Garden <omitted>   Market (whether by sale or transfer of equity interests or assets, merger or otherwise); provided, that any such assignee shall be subject to the provisions of this Agreement as if it were the original party hereto, including, without limitation, this Section 11.8;   <omitted>   (4) the Agent shall be entitled to transfer and assign its rights, interests and obligations hereunder and under the License Agreement with respect to the Included Markets; provided, that (A), the Agent may only make one (1) assignment pursuant to this Section 11.8(b)(4) with respect to the North America Territories and one (1) assignment pursuant to this Section 11.8(b)(4) with respect to any Other Included Markets, (B) the Agent determines in its reasonable commercial opinion that the assignee of such rights pursuant to this Section 11.8(b)(4) can and will fully perform the duties and obligations under the License Agreement and with respect to the Roundup L&G Business in such Included Markets as specified in the License Agreement and this Agreement and (C) that any such assignee shall be subject to the provisions of the License Agreement and this Agreement as if it were an original party to each agreement. (Pages 60-61)  Notwithstanding anything in this Agreement to the contrary, the Agent may not transfer or assign any rights, interests or obligations (i) under this Agreement to any Restricted Party or (ii) that are provided pursuant to Sections 10.5(d) or 10.6 of this Agreement. (Page 61)  For the avoidance of doubt, in no event shall this Agreement be transferred, delegated, or assigned by a party (by operation of law, Change of Control, or otherwise) to a third party unless the applicable portions of the License Agreement are also transferred to such third party. (Page 61)  Any transfer or assignment not permitted by this Section 11.8 shall be null and void. (Page 61)"
LECLANCHE_ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.PDF,"Subject to Article 22.2, this Agreement shall remain in force for an Initial Period of 1 year, which may be renewed by mutual consent for such period as the Parties may agree (“Term”), unless it is terminated earlier in accordance with this Agreement or for any of the following reasons: <omitted> or in case of a change of control of one of the Parties; (Page 9)","Neither Party may assign, delegate, or transfer this Agreement or any of its rights or duties hereunder, without the prior written consent of the other Party. (Page 6)  Any attempted assignment or delegation in violation of this section shall be void. (Page 6)"
"Loop Industries, Inc. - Marketing Agreement.PDF",,"This Agreement shall inure to the benefit of, and shall be binding upon, the Parties and their respective successors and assigns, but neither Party may assign this Agreement without the prior written consent of the other except to a person into which it has merged or who has otherwise succeeded to all or substantially all of the business and assets of the assignor, and who has assumed in writing or by operation of law its obligations under this Agreement. (Page 10)  This Assignment shall inure to the benefit of, and shall be binding upon, the Parties and their respective successors and assigns, but, except as provided in Section 3 above, neither Party may assign this Assignment without the prior written consent of the other Party. (Page 15)"
NUVEEN - REMARKETING AGREEMENT.PDF,,The rights and obligations of the Fund and the Investment Adviser hereunder may not be assigned or delegated to any other person without the prior written consent of the Remarketing Agent. (Page 17)  The rights and obligations of the Remarketing Agent hereunder may not be assigned or delegated to any other person without the prior written consent of the Fund. (Page 17)
"PACIRA PHARMACEUTICALS, INC. - A&R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .PDF","Offsets and/or repayment of the Advanced Royalty Payment shall commence on [**] and shall continue, unless sooner  paid, through [**] (the “Royalty Offset Period”) and such offsets will be taken by EKR (and such repayment will be made  by PPI) as follows:   <omitted>   (iii) upon any Change of Control (as defined in Section 20.4) of PPI, by repayment to EKR in full of the balance of the  Advanced Royalty Payment not previously used for offsets, which payment shall be made to EKR by PPI within ten  (10) days after the closing date (without any conditions) of any such Change of Control. (Pages 33-34)  Either Party shall be entitled forthwith to terminate this Agreement by notice to the other if:   <omitted> (i) the other Party ceases or threatens to cease to carry on the whole or any material part of its business; (Pages 54-55)  Should there be a Change of Control of either Party resulting in the control of such Party by a Third Party which  markets or sells a Competing Product in any part of the Territory, then the rights under this Agreement may not be assigned without the  express consent of the other Party which consent shall not be unreasonably withheld. “Change of Control” shall mean (a) the sale, lease,  exchange, license or disposition of all or substantially all of the Party’s assets in one transaction or series of related transactions or (b) a  merger or consolidation with an unaffiliated Third Party as a result of which the holders of the Party’s issued and outstanding voting  securities immediately before such transaction own or control less than a majority of the voting securities of the continuing or surviving  entity immediately after such transaction. (Page 63)","Subject to Section 20.2, neither Party shall, nor shall it purport to, assign, license, transfer or change any of its rights or  obligations under this Agreement without the prior written consent of the other, such consent not to be unreasonably withheld  conditioned or delayed; provided, however, that except as provided in Section 20.4 either Party may assign its rights hereunder to an  Affiliate or to any successor by merger, consolidation, sale of stock or other equity interests or the sale of substantially all of the assets of  such Party without the consent of the other Party. (Page 62)  Should there be a Change of Control of either Party resulting in the control of such Party by a Third Party which  markets or sells a Competing Product in any part of the Territory, then the rights under this Agreement may not be assigned without the  express consent of the other Party which consent shall not be unreasonably withheld. (Page 63)"
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement .PDF,,"This Agreement may not be assigned by Broker Dealer without the prior written consent of Issuer and   Distributor, which shall not be unreasonably withheld. (Page 6)"
"SightLife Surgical, Inc. - STRATEGIC SALES & MARKETING AGREEMENT.PDF",,"Surgical shall not assign this Agreement or any of its rights or privileges without the prior written consent of Imprimis, which consent Imprimis may grant or withhold in its sole discretion. (Page 4)"
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.PDF","In the event of a Change of Control (as defined below) this Agreement shall immediately terminate. (Page 7)  A Change of Control shall occur with respect to the Manufacturer, unless Subcontractor shall have expressly consented to such Change of Control in writing. (Page 7)",Neither Party may assign or transfer this Agreement by operation of law or otherwise. (Page 7)  Any assignment made by either Party in contravention of this Section 15.7 shall be null and void for all purposes. (Page 7)  In the event of a Change of Control (as defined below) this Agreement shall immediately terminate. (Page 7)
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.PDF,,Neither party shall assign this Agreement or any rights under it except with the prior written consent of the other. (Page 6)
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT.PDF,,"7)      All covenants, promises and agreements by or on behalf of the parties contained in this Agreement shall be binding upon and shall inure to the benefit of the successors and assigns of the  parties; but nothing in this Agreement, expressed or implied is intended to confer on any party the right to assign its rights or  obligations hereunder. (Page 1)"
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT.PDF,,This Agreement may not be assigned by either party            ---------- without the prior written consent of the other party. (Page 3)
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.PDF,,"Neither party may assign this Agreement, in whole                   or in part, without the other party's written consent (which                   will not be unreasonably withheld), except that no such                   consent will be required in connection with (i) a merger,                   reorganization or sale of all, or substantially all, of such                   party's assets or (ii) the assignment and/or delegation of                   such party's rights and responsibilities hereunder to a                   wholly-owned subsidiary or joint venture in which that party                   holds an interest. (Page 8)  Any attempt to assign this Agreement other                   than as permitted above will be null and void. (Page 8)"
SONUSCORP_03_12_1997-EX-10.11-SPONSORSHIP AGREEMENT.PDF,,"This  Agreement  is binding  upon and enures to the  benefit of the  parties and their  respective  successors and assigns,  and no party shall have the right to assign its rights  hereunder or any interest  herein  without the prior  written consent of the other parties. (Page 8)"
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT.PDF,,"Except as provided in Section 22, no party shall assign this Agreement without the prior written approval of the other party, provided, however, that without obtaining such prior written approval, (a) SDBF may assign this Agreement to a transferee of the Padres’ MLB franchise or to an affiliate of the Padres, and (b) Sponsor may assign this Agreement to an affiliate of Sponsor, provided that Sponsor shall continue to be obligated to SDBF for performance of Sponsor’s obligations hereunder. (Page 9)"
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT.PDF,,"This Agreement may not be assigned by Tickets without MP3.com's written consent, which shall be promptly granted or denied and not unreasonably withheld, except that Tickets may assign this Agreement without MP3.com's consent if another entity acquires substantially all the assets of Tickets. (Page 2)"
"VNUE,INC_07_10_2015-EX-10.1-SPONSORSHIP AGREEMENT.PDF",,"This Agreement is personal to each of the parties, and neither party may assign or delegate any of its rights or obligations under this Agreement without first obtaining the other party’s written consent. (Page 7)"
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",,"Detto may not assign any of its rights or delegate any of its obligations hereunder, whether by operation of law or otherwise, without PivX's prior written consent. Subject to the foregoing, this Agreement shall bind and inure to the benefit of the parties, their respective successors and permitted assigns. (Page 5)"
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.PDF,,"Reseller acknowledges and agrees that it does not have the right to assign sub-resellers under this Agreement  outside of the Territory, except with the prior written consent of Diversinet. (Page 1)  Assignment  Without the express prior written consent of Diversinet (not to be unreasonably refused), Reseller may not assign this Agreement or its interest  herein in whole or in part but Reseller shall continue to be responsible should the assignee fail to perform. Diversinet may assign this Agreement at  any time and in such event, this Agreement shall continue in full force and effect as if the assignee were named as the licensor in the first instance  but Diversinet shall continue to be responsible should the assignee fail to perform. (Page 6)  Notwithstanding any provision to the contrary in the Agreement, Licensor shall not subcontract or assign any of the Services that may  require access to or the downloading or other use of Personal Information except with the prior written consent of Licensee or as required to  be disclosed by a governmental agency or third party as expressly required by operation of law, regulation or court order. (Page 14)"
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT.PDF,,"Except for the rights of TouchStar under Section 10.7(a), this                 Agreement may not be assigned by either party without the prior                 written consent of the other. Any attempted assignment in                 violation of this provision shall be void and shall be deemed a                 breach of this Agreement. (Page 14)"
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.PDF",,"Neither Party may transfer or assign any of its rights or obligations under this Agreement without the prior written consent of the other Party, except that either Party may assign this Agreement to any entity controlled by it, its parents, subsidiaries, or affiliates, or to any purchaser of the business to which this Agreement relates subject to the other Parties consent which will not be unreasonably withheld or delayed. (Page 10)"
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.PDF,,"This Agreement shall inure to the benefit of and be binding upon the successors and assigns of the Parties hereto; provided, however, that neither Party shall transfer or assign this Agreement without the prior written consent of the other Party, such consent not to be unreasonably withheld, except where such assignment is by CPDC to any successor or subsidiary organization created within [***] of the Effective Date of this Agreement, which assignment may be completed without the prior written consent of FUSION. (Page 9)"
